"id","name","img","asin","price","mrp","rating","ratingTotal","discount","seller","purl"
13,Printed Oversized Pure Cotton T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/13930788/2021/8/6/38d6c0e3-cda3-4059-a673-2cdb0bafae181628241011946-DILLINGER-Women-Tshirts-8941628241011571-1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/13930788/2021/8/6/38d6c0e3-cda3-4059-a673-2cdb0bafae181628241011946-DILLINGER-Women-Tshirts-8941628241011571-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/13930788/2021/8/6/38d6c0e3-cda3-4059-a673-2cdb0bafae181628241011946-DILLINGER-Women-Tshirts-8941628241011571-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/13930788/2021/8/6/38d6c0e3-cda3-4059-a673-2cdb0bafae181628241011946-DILLINGER-Women-Tshirts-8941628241011571-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/13930788/2021/8/6/38d6c0e3-cda3-4059-a673-2cdb0bafae181628241011946-DILLINGER-Women-Tshirts-8941628241011571-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/13930788/2021/8/6/38d6c0e3-cda3-4059-a673-2cdb0bafae181628241011946-DILLINGER-Women-Tshirts-8941628241011571-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/13930788/2021/8/6/38d6c0e3-cda3-4059-a673-2cdb0bafae181628241011946-DILLINGER-Women-Tshirts-8941628241011571-1.jpg",-,551,1199,4.5,5500,"54",DILLINGER,https://www.myntra.com/tshirts/dillinger/dillinger-women-purple-typography-printed-drop-shoulder-sleeves-oversized-pure-cotton-t-shirt/13930788/buy
14,Men Camouflage Printed Loose T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/17868156/2022/4/12/4084bedc-aa91-40c8-bed9-e8e74bbdd5f31649779743002VEIRDOMenWhiteCamouflagePrintedMonochromeLooseT-shirt1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/17868156/2022/4/12/4084bedc-aa91-40c8-bed9-e8e74bbdd5f31649779743002VEIRDOMenWhiteCamouflagePrintedMonochromeLooseT-shirt1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/17868156/2022/4/12/4084bedc-aa91-40c8-bed9-e8e74bbdd5f31649779743002VEIRDOMenWhiteCamouflagePrintedMonochromeLooseT-shirt1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/17868156/2022/4/12/4084bedc-aa91-40c8-bed9-e8e74bbdd5f31649779743002VEIRDOMenWhiteCamouflagePrintedMonochromeLooseT-shirt1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/17868156/2022/4/12/4084bedc-aa91-40c8-bed9-e8e74bbdd5f31649779743002VEIRDOMenWhiteCamouflagePrintedMonochromeLooseT-shirt1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/17868156/2022/4/12/4084bedc-aa91-40c8-bed9-e8e74bbdd5f31649779743002VEIRDOMenWhiteCamouflagePrintedMonochromeLooseT-shirt1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/17868156/2022/4/12/4084bedc-aa91-40c8-bed9-e8e74bbdd5f31649779743002VEIRDOMenWhiteCamouflagePrintedMonochromeLooseT-shirt1.jpg",-,479,1199,4.1,1900,"60",VEIRDO,https://www.myntra.com/tshirts/veirdo/veirdo-men-white-camouflage-printed-loose-oversize-cotton-t-shirt/17868156/buy
15,Time Travlr Sleveless Pure Cotton T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/2498517/2018/5/11/d485cf97-7835-446f-b637-a98ac6fe2a291526023388617-Roadster-Men-Olive-Green-Solid-Round-Neck-T-shirt-4761526023388386-1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/2498517/2018/5/11/d485cf97-7835-446f-b637-a98ac6fe2a291526023388617-Roadster-Men-Olive-Green-Solid-Round-Neck-T-shirt-4761526023388386-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/2498517/2018/5/11/d485cf97-7835-446f-b637-a98ac6fe2a291526023388617-Roadster-Men-Olive-Green-Solid-Round-Neck-T-shirt-4761526023388386-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/2498517/2018/5/11/d485cf97-7835-446f-b637-a98ac6fe2a291526023388617-Roadster-Men-Olive-Green-Solid-Round-Neck-T-shirt-4761526023388386-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/2498517/2018/5/11/d485cf97-7835-446f-b637-a98ac6fe2a291526023388617-Roadster-Men-Olive-Green-Solid-Round-Neck-T-shirt-4761526023388386-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/2498517/2018/5/11/d485cf97-7835-446f-b637-a98ac6fe2a291526023388617-Roadster-Men-Olive-Green-Solid-Round-Neck-T-shirt-4761526023388386-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/2498517/2018/5/11/d485cf97-7835-446f-b637-a98ac6fe2a291526023388617-Roadster-Men-Olive-Green-Solid-Round-Neck-T-shirt-4761526023388386-1.jpg",-,124,499,4.1,5100,"75",Roadster,https://www.myntra.com/tshirts/roadster/roadster-time-travlr-men-olive-green-sleveless-pure-cotton-t-shirt-with-raw-edges/2498517/buy
16,Men Striped Polo Collar T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/20324896/2022/10/27/2215b2bf-a2c1-424b-aaa6-befb8b78467c1666867734904-Louis-Philippe-Sport-Men-Tshirts-3571666867734363-1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/20324896/2022/10/27/2215b2bf-a2c1-424b-aaa6-befb8b78467c1666867734904-Louis-Philippe-Sport-Men-Tshirts-3571666867734363-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/20324896/2022/10/27/2215b2bf-a2c1-424b-aaa6-befb8b78467c1666867734904-Louis-Philippe-Sport-Men-Tshirts-3571666867734363-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/20324896/2022/10/27/2215b2bf-a2c1-424b-aaa6-befb8b78467c1666867734904-Louis-Philippe-Sport-Men-Tshirts-3571666867734363-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/20324896/2022/10/27/2215b2bf-a2c1-424b-aaa6-befb8b78467c1666867734904-Louis-Philippe-Sport-Men-Tshirts-3571666867734363-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/20324896/2022/10/27/2215b2bf-a2c1-424b-aaa6-befb8b78467c1666867734904-Louis-Philippe-Sport-Men-Tshirts-3571666867734363-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/20324896/2022/10/27/2215b2bf-a2c1-424b-aaa6-befb8b78467c1666867734904-Louis-Philippe-Sport-Men-Tshirts-3571666867734363-1.jpg",-,1199,1999,4.6,180,"40",Louis Philippe Sport,https://www.myntra.com/tshirts/louis-philippe-sport/louis-philippe-sport-men-navy-blue--yellow-striped-polo-collar-t-shirt/20324896/buy
17,Men Striped Polo Collar T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/9973475/2022/11/14/b5639b13-e56a-4b59-8756-7e8b36c7775f1668419486394-Roadster-Men-Black--Grey-Striped-Polo-Collar-Pure-Cotton-T-s-1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/9973475/2022/11/14/b5639b13-e56a-4b59-8756-7e8b36c7775f1668419486394-Roadster-Men-Black--Grey-Striped-Polo-Collar-Pure-Cotton-T-s-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/9973475/2022/11/14/b5639b13-e56a-4b59-8756-7e8b36c7775f1668419486394-Roadster-Men-Black--Grey-Striped-Polo-Collar-Pure-Cotton-T-s-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/9973475/2022/11/14/b5639b13-e56a-4b59-8756-7e8b36c7775f1668419486394-Roadster-Men-Black--Grey-Striped-Polo-Collar-Pure-Cotton-T-s-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/9973475/2022/11/14/b5639b13-e56a-4b59-8756-7e8b36c7775f1668419486394-Roadster-Men-Black--Grey-Striped-Polo-Collar-Pure-Cotton-T-s-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/9973475/2022/11/14/b5639b13-e56a-4b59-8756-7e8b36c7775f1668419486394-Roadster-Men-Black--Grey-Striped-Polo-Collar-Pure-Cotton-T-s-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/9973475/2022/11/14/b5639b13-e56a-4b59-8756-7e8b36c7775f1668419486394-Roadster-Men-Black--Grey-Striped-Polo-Collar-Pure-Cotton-T-s-1.jpg",-,349,1399,4.1,3800,"75",Roadster,https://www.myntra.com/tshirts/roadster/the-roadster-life-co-men-black--grey-striped-polo-collar-pure-cotton-t-shirt/9973475/buy
18,Henley Neck T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg",-,274,499,4.2,3600,"45",Roadster,https://www.myntra.com/tshirts/roadster/roadster-men-brown-melange-henley-neck-t-shirt/1996770/buy
19,Typography Cotton T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/2308267/2018/1/29/11517216335231-Roadster-Men-Maroon-Printed-Round-Neck-T-shirt-5591517216335098-1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/2308267/2018/1/29/11517216335231-Roadster-Men-Maroon-Printed-Round-Neck-T-shirt-5591517216335098-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/2308267/2018/1/29/11517216335231-Roadster-Men-Maroon-Printed-Round-Neck-T-shirt-5591517216335098-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/2308267/2018/1/29/11517216335231-Roadster-Men-Maroon-Printed-Round-Neck-T-shirt-5591517216335098-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/2308267/2018/1/29/11517216335231-Roadster-Men-Maroon-Printed-Round-Neck-T-shirt-5591517216335098-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/2308267/2018/1/29/11517216335231-Roadster-Men-Maroon-Printed-Round-Neck-T-shirt-5591517216335098-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/2308267/2018/1/29/11517216335231-Roadster-Men-Maroon-Printed-Round-Neck-T-shirt-5591517216335098-1.jpg",-,299,599,4,29100,"50",Roadster,https://www.myntra.com/tshirts/roadster/roadster-men-maroon-typography-printed-cotton-t-shirt/2308267/buy
20,Women Candy Stripes T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/14140704/2021/9/24/a9cf5fed-e30d-4397-8fee-700d540058ed1632481604682-Moda-Rapido-Women-Multicoloured-Candy-Stripes-Drop-Shoulder--1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/14140704/2021/9/24/a9cf5fed-e30d-4397-8fee-700d540058ed1632481604682-Moda-Rapido-Women-Multicoloured-Candy-Stripes-Drop-Shoulder--1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/14140704/2021/9/24/a9cf5fed-e30d-4397-8fee-700d540058ed1632481604682-Moda-Rapido-Women-Multicoloured-Candy-Stripes-Drop-Shoulder--1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/14140704/2021/9/24/a9cf5fed-e30d-4397-8fee-700d540058ed1632481604682-Moda-Rapido-Women-Multicoloured-Candy-Stripes-Drop-Shoulder--1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/14140704/2021/9/24/a9cf5fed-e30d-4397-8fee-700d540058ed1632481604682-Moda-Rapido-Women-Multicoloured-Candy-Stripes-Drop-Shoulder--1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/14140704/2021/9/24/a9cf5fed-e30d-4397-8fee-700d540058ed1632481604682-Moda-Rapido-Women-Multicoloured-Candy-Stripes-Drop-Shoulder--1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/14140704/2021/9/24/a9cf5fed-e30d-4397-8fee-700d540058ed1632481604682-Moda-Rapido-Women-Multicoloured-Candy-Stripes-Drop-Shoulder--1.jpg",-,494,1099,4.2,1800,"55",Moda Rapido,https://www.myntra.com/tshirts/moda-rapido/moda-rapido-women-multicoloured-candy-stripes-drop-shoulder-sleeves-t-shirt/14140704/buy
21,Printed Cotton Pure Cotton T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/2297835/2018/3/14/11521020286596-Roadster-Men-Tshirts-4241521020286395-1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/2297835/2018/3/14/11521020286596-Roadster-Men-Tshirts-4241521020286395-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/2297835/2018/3/14/11521020286596-Roadster-Men-Tshirts-4241521020286395-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/2297835/2018/3/14/11521020286596-Roadster-Men-Tshirts-4241521020286395-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/2297835/2018/3/14/11521020286596-Roadster-Men-Tshirts-4241521020286395-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/2297835/2018/3/14/11521020286596-Roadster-Men-Tshirts-4241521020286395-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/2297835/2018/3/14/11521020286596-Roadster-Men-Tshirts-4241521020286395-1.jpg",-,399,799,4.2,12500,"50",Roadster,https://www.myntra.com/tshirts/roadster/roadster-men-navy-printed-cotton-pure-cotton-t-shirt/2297835/buy
22,Cotton Oversized T-Shirt,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/17132720/2022/6/20/7748f30c-e08f-4359-8524-9d8f7d3135281655722336851-DILLINGER-Women-Blue-Printed-Pure-Cotton-Loose-Graphic-Overs-1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/17132720/2022/6/20/7748f30c-e08f-4359-8524-9d8f7d3135281655722336851-DILLINGER-Women-Blue-Printed-Pure-Cotton-Loose-Graphic-Overs-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/17132720/2022/6/20/7748f30c-e08f-4359-8524-9d8f7d3135281655722336851-DILLINGER-Women-Blue-Printed-Pure-Cotton-Loose-Graphic-Overs-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/17132720/2022/6/20/7748f30c-e08f-4359-8524-9d8f7d3135281655722336851-DILLINGER-Women-Blue-Printed-Pure-Cotton-Loose-Graphic-Overs-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/17132720/2022/6/20/7748f30c-e08f-4359-8524-9d8f7d3135281655722336851-DILLINGER-Women-Blue-Printed-Pure-Cotton-Loose-Graphic-Overs-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/17132720/2022/6/20/7748f30c-e08f-4359-8524-9d8f7d3135281655722336851-DILLINGER-Women-Blue-Printed-Pure-Cotton-Loose-Graphic-Overs-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/17132720/2022/6/20/7748f30c-e08f-4359-8524-9d8f7d3135281655722336851-DILLINGER-Women-Blue-Printed-Pure-Cotton-Loose-Graphic-Overs-1.jpg",-,545,1299,4.6,1300,"58",DILLINGER,https://www.myntra.com/tshirts/dillinger/dillinger-women-blue-printed-pure-cotton-loose-graphic-oversized-t-shirt/17132720/buy
23,Solid Round Neck T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/2475892/2018/4/3/11522732991435-Roadster-Men-Black-Solid-Round-Neck-T-shirt-1531522732991218-1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/2475892/2018/4/3/11522732991435-Roadster-Men-Black-Solid-Round-Neck-T-shirt-1531522732991218-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/2475892/2018/4/3/11522732991435-Roadster-Men-Black-Solid-Round-Neck-T-shirt-1531522732991218-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/2475892/2018/4/3/11522732991435-Roadster-Men-Black-Solid-Round-Neck-T-shirt-1531522732991218-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/2475892/2018/4/3/11522732991435-Roadster-Men-Black-Solid-Round-Neck-T-shirt-1531522732991218-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/2475892/2018/4/3/11522732991435-Roadster-Men-Black-Solid-Round-Neck-T-shirt-1531522732991218-1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/2475892/2018/4/3/11522732991435-Roadster-Men-Black-Solid-Round-Neck-T-shirt-1531522732991218-1.jpg",-,359,799,4.1,6400,"55",Roadster,https://www.myntra.com/tshirts/roadster/roadster-men-black-solid-round-neck-t-shirt/2475892/buy
24,Printed Cotton Pure Cotton T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/1700944/2019/6/8/488007ef-c65e-4a2f-a92b-65b6846894861559989274078-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/1700944/2019/6/8/488007ef-c65e-4a2f-a92b-65b6846894861559989274078-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/1700944/2019/6/8/488007ef-c65e-4a2f-a92b-65b6846894861559989274078-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/1700944/2019/6/8/488007ef-c65e-4a2f-a92b-65b6846894861559989274078-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/1700944/2019/6/8/488007ef-c65e-4a2f-a92b-65b6846894861559989274078-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/1700944/2019/6/8/488007ef-c65e-4a2f-a92b-65b6846894861559989274078-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/1700944/2019/6/8/488007ef-c65e-4a2f-a92b-65b6846894861559989274078-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--1.jpg",-,384,699,4.2,66900,"45",HRX by Hrithik Roshan,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-yellow-printed-cotton-pure-cotton-t-shirt/1700944/buy
